juiz1.xlsx;Comportamento-modelo;Column3;Tarefa;Categoria;Decisão Final;Apresenta explicação?;Apresenta analogia? ;Forneceu resposta pronta?;Claros, consistentes e fáceis?;Focados?;Corretos?;Adaptados ao nível?;Útil?;Conectam com conhecimento prévio?;Comentários gerais;Média Final
juiz1.xlsx;Explicações e Analogias-gemini;1;Task 1.1;operadores;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa com conceitos iniciais, manteve a lógica da mesma analogia em diferentes mensagens.;5
juiz1.xlsx;Explicações e Analogias-gemini;2;Task 1.2;operadores;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa com conceitos variáveis. Analogia é lembrada em mais de uma resposta.;5
juiz1.xlsx;Explicações e Analogias-gemini;3;Task 1.3;operadores;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Começa com conceito de variáveis, com analogia na primeira mensagem. Continuidade da analogia. Apresentou exemplo de código de declaração de variável ;5
juiz1.xlsx;Explicações e Analogias-gemini;4;Task 1.4;operadores;Satisfatório;Sim;Sim;Não;5;5;5;5;3;5;Começa com conceito de variáveis, com analogia na primeira mensagem e continuou em apenas duas mensagens. Apresentou exemplo de solução. ;4,666666667
juiz1.xlsx;Explicações e Analogias-gemini;5;Task 1.5;operadores;Satisfatório;Sim;Sim;Parcialmente;5;3;5;5;3;5;Começa com longa explicação e conceito de variáveis. Na primeira mensagem apresentou longa explicação com trechos de código da resposta. Não corrigiu a fórmula;4,333333333
juiz1.xlsx;Explicações e Analogias-gemini;6;Task 2.1;condição;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa com longa explicação e conceito de variáveis, com analogia. Corrigiu erro com trecho de código. ;5
juiz1.xlsx;Explicações e Analogias-gemini;7;Task 2.2;condição;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa com explicação longa e conceito de variáveis, com analogia. ;5
juiz1.xlsx;Explicações e Analogias-gemini;8;Task 2.3;condição;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa com explicação longa e conceito de variáveis, com analogia. ;5
juiz1.xlsx;Explicações e Analogias-gemini;9;Task 2.4;condição;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa com explicação longa e conceito de variáveis, com analogia. ;5
juiz1.xlsx;Explicações e Analogias-gemini;10;Task 2.5;condição;Satisfatório;Sim;Sim;Não;5;5;5;5;3;5;Começa perguntando por qual exercício quero começar. Analogia de robo. ;4,666666667
juiz1.xlsx;Explicações e Analogias-gemini;11;Task 3.1;loops;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa perguntando por qual exercício quero começar. Mesmo após resposta, explica.;5
juiz1.xlsx;Explicações e Analogias-gemini;12;Task 3.2;loops;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa perguntando por qual exercício quero começar. Conduziu com explicações e analogias, explicou o include;5
juiz1.xlsx;Explicações e Analogias-gemini;13;Task 3.3;loops;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Começa perguntando se está pronto para o primeiro conceito. ;5
juiz1.xlsx;Explicações e Analogias-gemini;14;Task 3.4;loops;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa perguntando por qual exercício. Longa analogia de cookies. Usa abordagem mais eficiente. ;5
juiz1.xlsx;Explicações e Analogias-gemini;15;Task 3.5;loops;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa perguntando por qual exercício. ;5
juiz1.xlsx;Explicações e Analogias-gemini;16;Task 4.1;array;Parcialmente Satisfatório;Sim;Não;Não;5;3;5;5;2;5;Começa com conceito de variáveis. Conduziu solução com 6 variáveis individuais. Sem analogias;4,166666667
juiz1.xlsx;Explicações e Analogias-gemini;17;Task 4.2;array;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa avisando que vai explicar os conceitos. Conduziu com a mesma lógica de analogias.;5
juiz1.xlsx;Explicações e Analogias-gemini;18;Task 4.3;array;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Começa perguntando por qual exercício começar. Usa analogia de jogo e prédio;5
juiz1.xlsx;Explicações e Analogias-gemini;19;Task 4.4;array;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa avisando que vai explicar os conceitos. Usou analogia de prédio;5
juiz1.xlsx;Explicações e Analogias-gemini;20;Task 4.5;array;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa com conceitos de variáveis. Analogia de caixa de sapatos;5
juiz1.xlsx;Explicações e Analogias-gemini;21;Task 5.1;function;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Começa com conceitos de variáveis. Conduziu com perguntas e analogias. Apresentou trecho de código. ;5
juiz1.xlsx;Explicações e Analogias-gemini;22;Task 5.2;function;Satisfatório;Sim;Sim;Parcialmente;5;5;5;3;5;5;Começa com conceitos de exibição de valores. Boa analogia para fazer entender a operação matemática. Está usando lógica de array de nomes de meses.;4,666666667
juiz1.xlsx;Explicações e Analogias-gemini;23;Task 5.3;function;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Começa com conceitos básicos de programação. Entregou trecho de código com estrutura da função;5
juiz1.xlsx;Explicações e Analogias-gemini;24;Task 5.4;function;Parcialmente Satisfatório;Sim;Não;Parcialmente;5;3;5;5;2;5;Começa com conceito de variáveis. Apresentou trecho de código com solução.;4,166666667
juiz1.xlsx;Explicações e Analogias-gemini;25;Task 5.5;function;Parcialmente Satisfatório;Sim;Não;Não;5;3;5;5;2;0;Começa com conceito de variáveis. Não apresentou nenhuma analogia.;3,333333333
juiz1.xlsx;Explicações e Analogias-chatGPT;1;Task 1.1;operadores;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa com conceitos iniciais envolvidos;5
juiz1.xlsx;Explicações e Analogias-chatGPT;2;Task 1.2;operadores;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa com conceitos iniciais envolvidos;5
juiz1.xlsx;Explicações e Analogias-chatGPT;3;Task 1.3;operadores;Satisfatório;Sim;Sim;Não;5;5;5;5;5;5;Começa com alguns conceitos necessários e utiliza exemplos. Analogias estranhas;5
juiz1.xlsx;Explicações e Analogias-chatGPT;4;Task 1.4;operadores;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Começa com conceitos envolvidos. Utiliza exemplos. ;5
juiz1.xlsx;Explicações e Analogias-chatGPT;5;Task 1.5;operadores;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Começa com explicação longa e exemplos. Usa a opção de preencher os campos em branco. Não corrigiu o erro da fórmula.;5
juiz1.xlsx;Explicações e Analogias-chatGPT;6;Task 2.1;condição;Parcialmente Satisfatório;Sim;Não;Não;5;5;5;5;5;5;Começa com conceitos envolvidos. Sem analogias;5
juiz1.xlsx;Explicações e Analogias-chatGPT;7;Task 2.2;condição;Satisfatório;Sim;Sim;Parcialmente;5;5;5;5;5;5;Começa com os conceitos envolvidos.;5
