juiz1.xlsx;Comportamento-modelo;Column3;Tarefa;Categoria;Decisão Final;Forneceu resposta pronta?;Relevantes?;Corretos?;São suficientemente detalhados?;São variados?;Conecta conceitos abstratos e concretos?;Comentários gerais;Média Final
juiz1.xlsx;Exemplos-gemini;1;Task 1.1;operadores;Satisfatório;Não;5;5;5;5;5;Conduz por perguntas curtas. ;5
juiz1.xlsx;Exemplos-gemini;2;Task 1.2;operadores;Satisfatório;Não;5;5;5;5;5;Conduz por perguntas curtas e exemplos são variados.;5
juiz1.xlsx;Exemplos-gemini;3;Task 1.3;operadores;Satisfatório;Não;5;5;5;5;5;Conduz por perguntas curtas. Exemplos focados;5
juiz1.xlsx;Exemplos-gemini;4;Task 1.4;operadores;Satisfatório;Não;5;5;5;5;5;Conduz por perguntas curtas, começando por conceitos bem iniciais.;5
juiz1.xlsx;Exemplos-gemini;5;Task 1.5;operadores;Satisfatório;Sim;5;5;5;5;5;Após prompt começou explicando conceitos. Não dá resposta pronta, apresenta alternativas;5
juiz1.xlsx;Exemplos-gemini;6;Task 2.1;condição;Satisfatório;Não;5;5;5;5;5;Após prompt começou explicando conceitos. Insistiu em printf antes do scanf além disso, insistiu em dois printfs. Conduziu por pequenos passos e vários exemplos.;5
juiz1.xlsx;Exemplos-gemini;7;Task 2.2;condição;Satisfatório;Não;5;5;5;5;5;"Conduziu por pequenos passos. Comportamento ""bajulador"" em correção. ";5
juiz1.xlsx;Exemplos-gemini;8;Task 2.3;condição;Satisfatório;Não;5;5;5;5;5;"Usou analogia ""esquisita""";5
juiz1.xlsx;Exemplos-gemini;9;Task 2.4;condição;Satisfatório;Não;5;5;5;5;5;Não começou com exemplos, mas com perguntas. APós 3 interações seguiu com bons exemplos.;5
juiz1.xlsx;Exemplos-gemini;10;Task 2.5;condição;Satisfatório;Não;5;5;5;5;5;Começou com os primeiros passos de printf e scanf, após 10 interações que chegamos na principal tarefa.;5
juiz1.xlsx;Exemplos-gemini;11;Task 3.1;loops;Insatisfatório;Não;2;5;2;2;2;Começou com os primeiros passos. Perguntas verificando se de fato o conceito de scanf foi entendido. Usou analogias. Não utilizou exemplos e sim muitas explicações;2,6
juiz1.xlsx;Exemplos-gemini;12;Task 3.2;loops;Satisfatório;Não;5;5;5;4;5;"Começou com os primeiros passos. Usou o termo ""como já discutimos"". Apresentou mais explicações";4,8
juiz1.xlsx;Exemplos-gemini;13;Task 3.3;loops;Satisfatório;Não;5;5;5;5;5;Começa com conceitos iniciais. Pede explicações com minhas próprias palavras. Usou analogias. Focou em arrays;5
juiz1.xlsx;Exemplos-gemini;14;Task 3.4;loops;Satisfatório;Não;4;5;4;5;5;Começa com o conceito de numero primo. Usou analogia. Usou mais explicações do que exemplos.;4,6
juiz1.xlsx;Exemplos-gemini;15;Task 3.5;loops;Satisfatório;Não;5;5;5;5;5;Após prompt começou com sugestão de exercício. Conduziu com perguntas pontuais.;5
juiz1.xlsx;Exemplos-gemini;16;Task 4.1;array;Satisfatório;Não;5;5;5;5;5;Começou com o conceito de variável e evoluiu para array. Usou analogias.;5
juiz1.xlsx;Exemplos-gemini;17;Task 4.2;array;Satisfatório;Não;5;5;5;5;5;Após prompt, começou com conceitos iniciais. Conduziu a solução do exercício com exemplos pontuais.;5
juiz1.xlsx;Exemplos-gemini;18;Task 4.3;array;Satisfatório;Não;5;5;5;5;5;Conduziu com conceitos iniciais. Mesmo com erros, apresenta exemplos para serem baseados na correção.;5
juiz1.xlsx;Exemplos-gemini;19;Task 4.4;array;Satisfatório;Não;5;5;5;5;5;Começou com conceitos iniciais. ;5
juiz1.xlsx;Exemplos-gemini;20;Task 4.5;array;Satisfatório;Não;5;5;5;5;5;Começou com conceitos iniciais. Usou analogia. Fez perguntas para garantir o entendimento do conceito de matrizes.;5
juiz1.xlsx;Exemplos-gemini;21;Task 5.1;function;Satisfatório;Não;3;5;4;3;4;Começa com explicação e analogia. Fez mais explicações do que exemplos.;3,8
juiz1.xlsx;Exemplos-gemini;22;Task 5.2;function;Satisfatório;Não;5;5;5;5;5;Começa com exemplo. Conduz com vários exemplos e não apresenta a resposta correta.;5
juiz1.xlsx;Exemplos-gemini;23;Task 5.3;function;Satisfatório;Não;5;5;5;5;5;Começa com conceitos iniciais.;5
juiz1.xlsx;Exemplos-gemini;24;Task 5.4;function;Satisfatório;Não;5;5;5;5;5;Comceça com conceitos iniciais. Apresenta um primeiro exemplo com a estrutura da chamada da função.;5
juiz1.xlsx;Exemplos-gemini;25;Task 5.5;function;Satisfatório;Não;5;5;5;5;5;Começa com exemplo de função.;5
juiz1.xlsx;Exemplos-chatGPT;1;Task 1.1;operadores;Satisfatório;Parcialmente;5;5;5;2;2;Longas explicações, apresenta blocos de código como exemplo. Explorou mais explicações.;3,8
juiz1.xlsx;Exemplos-chatGPT;2;Task 1.2;operadores;Insatisfatório;Parcialmente;3;5;0;0;0;Não apresentou exemplos, apenas blocos de códigos. Fez explicações curtas e uma pergunta por vez.;1,6
