juiz1.xlsx;Comportamento-modelo;num;Tarefa;Categoria;Decisão Final;Forneceu resposta pronta?;Apresentou uma questão inicial? (wonder);Apresentou contra exemplos para testar a validade da resposta dada? (elenchus);Conduziu apenas com perguntas?;As perguntas foram bem formuladas que incentivam a investigação?;As perguntas promovem pensamento crítico?;Comentários gerais;Média Final
juiz1.xlsx;Método socrático-gemini;1;Task 1.1;operadores;Parcialmente Satisfatório;Parcialmente;5;2;4;5;3;Após prompt, começa com perguntas sobre C. Apresenta explicação e finaliza com pergunta. Utiliza analogia de mailbox;3,8
juiz1.xlsx;Método socrático-gemini;2;Task 1.2;operadores;Satisfatório;Não;5;5;4;4;3;Após prompt, começa com variável. Após exercício, insistiu em variável. Usou analogia e o comportamento está parecido com analogia. Apesar do comportamento de perguntas, muitas explicações e analogias.;4,2
juiz1.xlsx;Método socrático-gemini;3;Task 1.3;operadores;Satisfatório;Não;5;4;4;5;4;Após prompt, pergunta por qual exercício começar. Explicações com perguntas, algumas com pensamento crítico, outras não.;4,4
juiz1.xlsx;Método socrático-gemini;4;Task 1.4;operadores;Satisfatório;Não;5;5;4;4;4;Após prompt, começa com conceito de variável. Explicações com analogias.;4,4
juiz1.xlsx;Método socrático-gemini;5;Task 1.5;operadores;Satisfatório;Não;5;3;4;5;5;Após prompt, começa com conceito de variável. Usou analogias. Insistiu no entendimento de variáveis. Não se comporta testando resposta errada dada.;4,4
juiz1.xlsx;Método socrático-gemini;6;Task 2.1;condição;Satisfatório;Não;5;4;5;5;5;"Após prompt, começa com conceito de variável. E Após exercício, questiona o próposito da variável. Usou analogia. Condução ""distante"" do exercício, pediu exemplo com idade. Depois de 9 interações, chegou no exercício.";4,8
juiz1.xlsx;Método socrático-gemini;7;Task 2.2;condição;Satisfatório;Não;5;4;4;5;5;"Após prompt, começa com conceito de variáveis e tipos de dados. Fica a maior parte das interações ""destrinchando"" variáveis.";4,6
juiz1.xlsx;Método socrático-gemini;8;Task 2.3;condição;Satisfatório;Não;5;5;5;5;5;Após prompt, avisa que vai começar com conceitos básicos. Muitas interações em cima de variáveis.;5
juiz1.xlsx;Método socrático-gemini;9;Task 2.4;condição;Parcialmente Satisfatório;Não;5;3;3;3;5;Após prompt, começa com conceitos de variáveis e tipos de dados. Muitas interaçõe com variáveis, não explora contra-exemplos, faz correção de erros. Em uma das respostas, não fez pergunta, solicitou código;3,8
juiz1.xlsx;Método socrático-gemini;10;Task 2.5;condição;Satisfatório;Não;5;5;5;5;5;Após prompt, começa com conceitos de variáveis. Usou analogia e insistiu em variáveis.;5
juiz1.xlsx;Método socrático-gemini;11;Task 3.1;loops;Satisfatório;Não;5;5;5;5;5;Após prompt, avisa que vai começar com conceitos. Após exercício, foca em loops. Conduz com explicações e perguntas ;5
juiz1.xlsx;Método socrático-gemini;12;Task 3.2;loops;Satisfatório;Não;5;5;5;5;5;Após prompt, começa com conceitos de variáveis. Ficou muitas interações para conduzir o entendimento de entrada, saída e for. Apresenta algumas explicações.;5
juiz1.xlsx;Método socrático-gemini;13;Task 3.3;loops;Satisfatório;Não;5;5;5;5;5;Após prompt, começa com conceito de variáveis. Após exercício, começa no princípio com variáveis novamente. Sugere resolver com array;5
juiz1.xlsx;Método socrático-gemini;14;Task 3.4;loops;Satisfatório;Não;5;5;3;5;5;"Após prompt, começa com conceito de variáveis. Após exercício, começa no princípio com variáveis novamente. Usa analogias. Após algumas respostas de ""i don't know"" deu explicações longas.";4,6
juiz1.xlsx;Método socrático-gemini;15;Task 3.5;loops;Satisfatório;Não;5;5;5;5;5;Após prompt, começa com conceitos de variáveis. Após exercício, começa no princípio com variáveis novamente. Usou analogias. Não utiliza arrays.;5
juiz1.xlsx;Método socrático-gemini;16;Task 4.1;array;Parcialmente Satisfatório;Parcialmente;5;5;3;3;3;Após prompt, pergunta por qual exercício começar. Não utiliza arrays. Fornece longa explicação.;3,8
juiz1.xlsx;Método socrático-gemini;17;Task 4.2;array;Satisfatório;Não;5;5;5;4;3;Após prompt, começa com conceitos de variáveis. Após o exercício, mesmo com os conceitos de array, insiste em variáveis, com exemplos fora do exercício.;4,4
juiz1.xlsx;Método socrático-gemini;18;Task 4.3;array;Satisfatório;Não;5;5;5;5;5;Após prompt, começa com conceitos de variáveis e tipos de dados. Após exercício foca no conceito de matriz e acesso.;5
juiz1.xlsx;Método socrático-gemini;19;Task 4.4;array;Satisfatório;Não;5;5;5;5;5;Após prompt, avisa que vai começar com conceitos. Após exercício, foco em matriz e leitura.;5
juiz1.xlsx;Método socrático-gemini;20;Task 4.5;array;Satisfatório;Não;5;4;5;4;4;Após prompt, começa com conceitos de variáveis e tipos de dados. Após exercício foca na declaração de matrizes. Não testa a validade com contra-exemplos, corrige e finaliza com perguntas.;4,4
juiz1.xlsx;Método socrático-gemini;21;Task 5.1;function;Satisfatório;Não;5;5;5;5;5;Após prompt, começa com conceitos de variáveis. Após exercício, começa com parâmetros.;5
juiz1.xlsx;Método socrático-gemini;22;Task 5.2;function;Satisfatório;Não;5;5;5;5;5;Após prompt, começa com conceito de variáveis. Após exercício, explora como exibir os nomes dos meses. Fez teste de mesa para validar a resposta.;5
juiz1.xlsx;Método socrático-gemini;23;Task 5.3;function;Satisfatório;Não;5;5;5;5;5;"Após prompt, começa com conceito de ""Hello world"". Após exercício, começa com conceito de estrutura do código. Conduziu com perguntas para a estrutura do programa e não chegamos na solução central após as 10 interações.";5
